Business_ID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
eODPY5rejL6CYvN4DEqwrg,Nostro Ristorante,italian,4.5,242,710 5th Ave,11215,40.660738,-73.994285,False,03/03/2020 16:58:53
JcyY0ArcjZhxzLlrBuQuPg,Maestro Pasta,italian,4.5,65,45 John St,10038,40.709329,-74.007891,False,03/03/2020 16:58:53
P6mNpH4eBPA-42Z0PFEqtQ,Regina's Grocery,italian,4.5,48,27 Orchard St,10002,40.715472,-73.991795,False,03/03/2020 16:58:53
R3gSQGB3aEmVpwbKIgOPqg,Fabio Cucina Italiana,italian,4.5,309,214 E 52nd St,10022,40.75667,-73.96912,False,03/03/2020 16:58:53
4aF0F8w7yXX9o5_QFky_ig,Celestine,italian,4,215,1 John St,11201,40.704676,-73.987975,False,03/03/2020 16:58:53
PgTgzq8oKcP2r00YUWL03A,Sole di Capri,italian,4,248,165 Church St,10007,40.71511,-74.00758,False,03/03/2020 16:58:53
rtivWWzG0XjUuhSrwusTgQ,Fausto,italian,4,161,348 Flatbush Ave,11238,40.67597,-73.97181,False,03/03/2020 16:58:53
4Kqzy6WJBZ4Tc0cg6k2XNQ,Vinny's of Carroll Gardens,italian,4,209,295 Smith St,11231,40.682103,-73.993438,False,03/03/2020 16:58:53
1ZKbUeFAs0ltSnAYq4ELKw,Trattoria L'incontro,italian,4.5,921,21-76 31st St,11105,40.7763330374196,-73.9105868339539,False,03/03/2020 16:58:53
_KIjhnsaui-wF9OePRZ5NA,Gottino Enoteca e Salumeria,italian,4,298,52 Greenwich Ave,10011,40.7358,-74.00036,False,03/03/2020 16:58:53
NmJ2xtfZrscfWB_a5wEbXQ,Home's Kitchen Chinese Restaurant,chinese,3.5,184,22 E 21st St,10010,40.73944,-73.98913,False,03/03/2020 16:58:54
b7uTP_afs5Gkf66K7yDl-w,Food King,chinese,4,15,56 Market St,10002,40.71173,-73.99401,False,03/03/2020 16:58:54
lSrdxUNxyMgh5YU903JUiw,Ningbo Cafe,chinese,3.5,148,21 S End Ave,10280,40.7081329,-74.018318,False,03/03/2020 16:58:54
qFmyAqm0MQbdu_MHX1mhpQ,Oh Dumplings,chinese,4,64,6 Bergen St,11201,40.6875754,-73.9929996,False,03/03/2020 16:58:55
McU7XI3HoWFELTDaGc1SEw,Ginger and Lemongrass,chinese,4,355,153 Rivington St,10002,40.71912,-73.98567,False,03/03/2020 16:58:55
AA54rKcNIMglGhofj0huvg,Deng Ji II,chinese,4,57,51 Division St,10002,40.71416,-73.995061,False,03/03/2020 16:58:55
3cjw6qOQe5Qf_l_SciOfcQ,Yummy 88,chinese,3.5,21,130 Wilson Ave,11237,40.70075,-73.92605,False,03/03/2020 16:58:55
4--r7DCu5l9UEIjs4OwKSQ,Gem Bing Shop,chinese,4,52,9 Saint Marks Pl,10003,40.72946,-73.9891,False,03/03/2020 16:58:55
l_gQf_4NgPMJcx2OkjsMfg,Noods n’ Chill,chinese,4.5,31,170 S 3rd St,11211,40.71194,-73.96121,False,03/03/2020 16:58:55
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,chinese,4,613,165 W 23rd St,10011,40.7440494396358,-73.995028194335,False,03/03/2020 16:58:55
WEa266y5CsANNqvyfG7elA,King's Kitchen,chinese,5,7,158 Lewis Ave,11221,40.6913483887911,-73.9367651939392,False,03/03/2020 16:58:55
OfqANzeWRlZrdHQuG7pI0w,China Chalet,chinese,3,177,47 Broadway,10006,40.7065032987417,-74.012940146627,False,03/03/2020 16:58:55
IdHZfmpp8MmQ4_KZL2qXbg,MAKIINNY,chinese,5,40,32 E7th St,10003,40.72831,-73.98914,False,03/03/2020 16:58:55
C3tP0fNNAoxOAC3O406CXQ,Le Sia,chinese,4.5,24,651 9th Ave,10036,40.76072,-73.99119,False,03/03/2020 16:58:55
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,chinese,4,1683,37 W 43rd,10036,40.755136,-73.982194,False,03/03/2020 16:58:55
S5VN-lFmTdI5VVQ0qFyfCQ,Fortune Place,chinese,3.5,16,286 Broadway,11211,40.70849,-73.9585,False,03/03/2020 16:58:55
pb_cHcy8D8UC-jQ-Q524ug,Som Bo,chinese,4,211,143 8th Ave,10011,40.74192,-74.00136,False,03/03/2020 16:58:55
6LfskUyZzmcDSV6h5kOwGw,Peking Duck House,chinese,3,844,28 Mott St,10013,40.71461,-73.99871,False,03/03/2020 16:58:55
QBhHq4eN7rtFzmDUciVL-Q,King Wok,chinese,3.5,133,222 Varick St,10014,40.72904,-74.0050399,False,03/03/2020 16:58:55
6gE9N5wD4K-bbmSEBm7Lhw,Kong Kee,chinese,4,53,212 Grand St,10002,40.719047,-73.996139,False,03/03/2020 16:58:55
gQ6DNeLNWQV-zwWyuFeBpg,No.1 Chinese Restaurant,chinese,3,158,10 S William St,10004,40.7046671846472,-74.0105490435282,False,03/03/2020 16:58:55
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,chinese,4.5,206,24 W 56th St,10019,40.76278,-73.97589,False,03/03/2020 16:58:55
_4UvguU5z2hMsHXlYedFXw,Tao Hong Bakery,chinese,4.5,37,79 Chrystie St,10002,40.71735,-73.9945679,False,03/03/2020 16:58:55
dpCSDy9uefOEcY44FHss2Q,Hyo Dong Gak,chinese,3.5,413,51 W 35th St,10001,40.7501219,-73.9862269,False,03/03/2020 16:58:55
vODvsWDPppO5-AoKpjcQ8w,Fu Xing,chinese,4,4,273 W 38th St,10018,40.7547,-73.991055,False,03/03/2020 16:58:55
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,chinese,4.5,621,461 W 23rd St,10011,40.747608,-74.003553,False,03/03/2020 16:58:55
JFFVmuwj8pnSLePgy3f2Iw,Mi Noodle Bar,chinese,4.5,228,391 2nd Ave,10010,40.7377,-73.981304,False,03/03/2020 16:58:55
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,chinese,4.5,980,425 W 15th St,10011,40.7423387008486,-74.00625,False,03/03/2020 16:58:55
A_e9adJ7v_U7trur2JMrgA,Grill On Lee,chinese,4,12,108 Lee Ave,11211,40.7044641162683,-73.9587070047855,False,03/03/2020 16:58:55
TWI3efEcCVsTErKFWz4Zqg,Nom Wah - Nolita,chinese,3.5,177,10 Kenmare St,10012,40.7204154878855,-73.9944789558649,False,03/03/2020 16:58:55
jjJc_CrkB2HodEinB6cWww,LoveMama,chinese,4.5,4970,174 2nd Ave,10003,40.7303859,-73.9860613,False,03/03/2020 16:58:56
za9mYaRVWkwKkQfjRgvU0g,Taiwan Bear House,chinese,4,290,11 Pell St,10013,40.7147185237041,-73.9977966218067,False,03/03/2020 16:58:56
SyvC0s3y0ZrtnLbwnvw7tw,Tim Ho Wan,chinese,3.5,1705,85 4th Ave,10003,40.73168,-73.99007,False,03/03/2020 16:58:56
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,chinese,4,388,1378 3rd Ave,10075,40.773951,-73.957927,False,03/03/2020 16:58:56
ldEnlFvW6Rqqoryh6hdDpQ,Friendship Food,chinese,3.5,15,103 Bowery,10002,40.7175013525047,-73.995192164058,False,03/03/2020 16:58:56
30pqvzHrCNmnodJCRyzrTg,Snacky,chinese,4,192,187 Grand St,11211,40.71439,-73.9607,False,03/03/2020 16:58:56
AfF4zVbVI27zwgkzOLYDFg,Xi'an Famous Foods,chinese,4,218,648 Manhattan Ave,11222,40.7243301734731,-73.9509299397469,False,03/03/2020 16:58:56
hdiQrGDT8enOzpxaipBzNA,Mee Noodle Shop & Grill,chinese,3,123,223 1st Ave,10003,40.730968,-73.983215,False,03/03/2020 16:58:56
Nvhx093-K2xwHIZVnFstJw,Copper Throat Thai Cuisine,chinese,4.5,103,123 Ludlow St,10002,40.71978,-73.98877,False,03/03/2020 16:58:56
c1HgKFOT4Cc7TqWQD5mQBQ,Cheong Fun Cart,chinese,4.5,76,159 Hester St.,10013,40.7176279773311,-73.9963736857056,False,03/03/2020 16:58:56
GcHaiid2EZpYBTOoquvhUg,Nice Fish & Noodle House,chinese,4,8,14-18 Elizabeth St,10013,40.71592,-73.99725,False,03/03/2020 16:58:56
vLsTPg42rkgN5rUpNfg1OA,Dalongyi Hot Pot,chinese,3.5,167,159 Canal St,10013,40.716557,-73.996583,False,03/03/2020 16:58:56
NXZFu7KHBrG02gzYneY5Xg,Ugly Kitchen,chinese,4,619,103 1st Ave,10003,40.7266856651479,-73.9862178981476,False,03/03/2020 16:58:56
Y3UBu639SToFR0xHHBg1xA,China Town Chinese Restaurant,chinese,3,12,250 E Houston St,10002,40.722095489502,-73.9849090576172,False,03/03/2020 16:58:56
gqUR7hd3NsxOD_JrD-iFfQ,Traditional Chinese Food Cart,chinese,4.5,8,35 W 4th St,10014,40.7293724,-73.995937,False,03/03/2020 16:58:56
LXmlfAmrGA3NfvYSfxIVvQ,Ma La La,chinese,4.5,28,42-02 30th Ave,11103,40.7629662660109,-73.913354203105,False,03/03/2020 16:58:56
4WyXnioHqTIcaFFN_TS1Vw,Ling Long Xuan Restaurant,chinese,4,111,586 Newark Ave,07306,40.73237,-74.0569,False,03/03/2020 16:58:56
_usWsAYSKKV2q8xw-3ajrA,Nom Wah Tea Parlor,chinese,3.5,1995,13 Doyers St,10013,40.714490521829,-73.998153857324,False,03/03/2020 16:58:56
